Title,Studio,Domestic_Gross,Foreign_Gross,Year,Runtime_Minutes,Main_Genres,Average_Rating,Num_Votes,Total_gross
Toy Story 3,BV,415000000.0,652000000.0,2010,103.0,Adventure,8.3,682218,1067000000.0
Inception,WB,292600000.0,535700000.0,2010,148.0,Action,8.8,1841066,828300000.0
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,93.0,Adventure,6.3,167532,752600000.0
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,124.0,Adventure,5.0,211733,698500000.0
Iron Man 2,Par.,312400000.0,311500000.0,2010,124.0,Action,7.0,657690,623900000.0
Tangled,BV,200800000.0,391000000.0,2010,100.0,Adventure,7.8,366366,591800000.0
Despicable Me,Uni.,251500000.0,291600000.0,2010,95.0,Animation,7.7,464511,543100000.0
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,98.0,Action,8.1,611299,494900000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,113.0,Adventure,6.3,129663,415700000.0
The King's Speech,Wein.,135500000.0,275400000.0,2010,118.0,Biography,8.0,593629,410900000.0
The Karate Kid,Sony,176600000.0,182500000.0,2010,140.0,Action,6.2,146401,359100000.0
Prince of Persia: The Sands of Time,BV,90800000.0,245600000.0,2010,116.0,Action,6.6,254975,336400000.0
Black Swan,FoxS,107000000.0,222400000.0,2010,108.0,Drama,8.0,648854,329400000.0
Megamind,P/DW,148400000.0,173500000.0,2010,95.0,Action,7.3,207488,321900000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,140.0,Action,6.6,239480,321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,92.0,Action,6.3,78,321700000.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,116.0,Action,5.3,41588,321700000.0
The Last Airbender,Par.,131800000.0,187900000.0,2010,103.0,Action,4.1,137734,319700000.0
Little Fockers,Uni.,148400000.0,162200000.0,2010,98.0,Comedy,5.5,99222,310600000.0
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,96.0,Action,5.9,153270,300200000.0
Shutter Island,Par.,128000000.0,166800000.0,2010,138.0,Mystery,8.1,1005960,294800000.0
Salt,Sony,118300000.0,175200000.0,2010,100.0,Action,6.4,277204,293500000.0
Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,146.0,Comedy,4.4,69199,288300000.0
The Tourist,Sony,67600000.0,210700000.0,2010,103.0,Action,6.0,206714,278300000.0
The Expendables,LGF,103100000.0,171400000.0,2010,103.0,Action,6.5,307897,274500000.0
Grown Ups,Sony,162000000.0,109400000.0,2010,102.0,Comedy,6.0,210377,271400000.0
True Grit,Par.,171200000.0,81000000.0,2010,110.0,Adventure,7.6,284034,252200000.0
Gulliver's Travels,Fox,42800000.0,194600000.0,2010,85.0,Adventure,4.9,61178,237400000.0
The Social Network,Sony,97000000.0,128000000.0,2010,120.0,Biography,7.7,568578,225000000.0
Valentine's Day,WB (NL),110500000.0,106000000.0,2010,125.0,Comedy,5.7,107171,216500000.0
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,109.0,Action,6.1,143862,215300000.0
Due Date,WB,100500000.0,111200000.0,2010,95.0,Adventure,6.5,303523,211700000.0
Eat Pray Love,Sony,80600000.0,124000000.0,2010,133.0,Drama,5.8,77709,204600000.0
Yogi Bear,WB,100200000.0,101300000.0,2010,80.0,Adventure,4.6,18934,201500000.0
Red,Sum.,90400000.0,108600000.0,2010,107.0,Drama,8.4,8,199000000.0
Red,Sum.,90400000.0,108600000.0,2010,90.0,Drama,8.1,26,199000000.0
Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,91.0,Horror,5.7,93122,177600000.0
The A-Team,Fox,77200000.0,100000000.0,2010,117.0,Action,6.8,235256,177200000.0
The Other Guys,Sony,119200000.0,51200000.0,2010,107.0,Action,6.7,221664,170400000.0
Unstoppable,Fox,81600000.0,86200000.0,2010,98.0,Action,6.8,173019,167800000.0
Unstoppable,Fox,81600000.0,86200000.0,2010,65.0,Documentary,4.3,551,167800000.0
Unstoppable,Fox,81600000.0,86200000.0,2010,116.0,Action,6.5,576,167800000.0
Unstoppable,Fox,81600000.0,86200000.0,2010,84.0,Documentary,8.1,8,167800000.0
The Book of Eli,WB,94800000.0,62300000.0,2010,118.0,Action,6.9,271307,157100000.0
The Town,WB,92200000.0,61800000.0,2010,125.0,Crime,7.6,322524,154000000.0
Date Night,Fox,98700000.0,53600000.0,2010,88.0,Comedy,6.3,144683,152300000.0
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010,97.0,Action,7.0,73790,140100000.0
The Wolfman,Uni.,62000000.0,77800000.0,2010,103.0,Drama,5.8,97873,139800000.0
The Bounty Hunter,Sony,67099999.0,69300000.0,2010,110.0,Action,5.6,112444,136399999.0
Wall Street: Money Never Sleeps,Fox,52500000.0,82300000.0,2010,133.0,Drama,6.2,93486,134800000.0
The Fighter,Par.,93600000.0,35600000.0,2010,116.0,Biography,7.8,316539,129200000.0
Predators,Fox,52000000.0,75200000.0,2010,107.0,Action,6.4,199764,127200000.0
Dear John,SGem,80000000.0,35000000.0,2010,108.0,Drama,6.3,128657,115000000.0
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000.0,2010,82.0,Action,4.3,12642,112500000.0
Tooth Fairy,Fox,60000000.0,52400000.0,2010,101.0,Comedy,5.0,37939,112400000.0
Tooth Fairy,Fox,60000000.0,52400000.0,2010,86.0,Horror,2.6,64,112400000.0
Life as We Know It,WB,53400000.0,52300000.0,2010,114.0,Comedy,6.6,113077,105700000.0
Hereafter,WB,32700000.0,72500000.0,2010,129.0,Drama,6.5,87288,105200000.0
The Girl with the Dragon Tattoo,MBox,10100000.0,94300000.0,2010,158.0,Crime,7.8,387580,104400000.0
Killers,LGF,47100000.0,51100000.0,2010,100.0,Action,5.4,82237,98200000.0
Killers,LGF,47100000.0,51100000.0,2010,137.0,Action,6.5,4472,98200000.0
Kick-Ass,LGF,48100000.0,48100000.0,2010,117.0,Action,7.6,497363,96200000.0
Green Zone,Uni.,35100000.0,59800000.0,2010,115.0,Action,6.8,122132,94900000.0
Nanny McPhee Returns,Uni.,29000000.0,64200000.0,2010,109.0,Comedy,6.1,25048,93200000.0
Get Him to the Greek,Uni.,61000000.0,30300000.0,2010,109.0,Adventure,6.4,161653,91300000.0
Burlesque,SGem,39400000.0,50100000.0,2010,119.0,Drama,6.4,71021,89500000.0
The Last Song,BV,63000000.0,26100000.0,2010,107.0,Drama,6.0,74914,89100000.0
Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010,114.0,Comedy,5.9,91546,86800000.0
Marmaduke,Fox,33600000.0,50100000.0,2010,87.0,Comedy,4.2,13283,83700000.0
Piranha 3D,W/Dim.,25000000.0,58200000.0,2010,88.0,Comedy,5.4,81327,83200000.0
Edge of Darkness,WB,43300000.0,37800000.0,2010,117.0,Crime,6.6,84753,81100000.0
Vampires Suck,Fox,36700000.0,43900000.0,2010,82.0,Comedy,3.4,43984,80600000.0
Letters to Juliet,Sum.,53000000.0,26100000.0,2010,105.0,Adventure,6.6,86137,79100000.0
Diary of a Wimpy Kid,Fox,64000000.0,11700000.0,2010,94.0,Comedy,6.2,38640,75700000.0
Easy A,SGem,58400000.0,16600000.0,2010,92.0,Comedy,7.1,330125,75000000.0
Takers,SGem,57700000.0,11300000.0,2010,107.0,Action,6.2,53377,69000000.0
The American,Focus,35600000.0,32299999.0,2010,105.0,Crime,6.3,86863,67899999.0
The Last Exorcism,LGF,41000000.0,26700000.0,2010,87.0,Drama,5.6,45815,67700000.0
The Next Three Days,LGF,21100000.0,46300000.0,2010,133.0,Action,7.4,168066,67400000.0
Skyline,Uni.,21400000.0,45400000.0,2010,92.0,Action,4.4,83710,66800000.0
Hot Tub Time Machine,MGM,50300000.0,14300000.0,2010,101.0,Comedy,6.4,153962,64600000.0
Devil,Uni.,33600000.0,29100000.0,2010,80.0,Horror,6.2,122080,62700000.0
127 Hours,FoxS,18300000.0,42400000.0,2010,94.0,Adventure,7.6,323949,60700000.0
Secretariat,BV,59700000.0,537000.0,2010,123.0,Biography,7.2,24536,60237000.0
The Ghost Writer,Sum.,15500000.0,44700000.0,2010,128.0,Drama,7.2,148274,60200000.0
Morning Glory,Par.,31000000.0,29000000.0,2010,107.0,Comedy,6.5,67367,60000000.0
Remember Me,Sum.,19100000.0,37000000.0,2010,113.0,Drama,7.1,129443,56100000.0
Remember Me,Sum.,19100000.0,37000000.0,2010,85.0,Comedy,5.2,72,56100000.0
Cop Out,WB,44900000.0,10700000.0,2010,107.0,Action,5.6,81656,55600000.0
The Crazies,Over.,39100000.0,15700000.0,2010,101.0,Horror,6.5,104465,54800000.0
From Paris with Love,LGF,24100000.0,28700000.0,2010,92.0,Action,6.5,107079,52800000.0
Alpha and Omega,LGF,25100000.0,25400000.0,2010,90.0,Adventure,5.3,12463,50500000.0
The Switch,Mira.,27800000.0,22100000.0,2010,101.0,Comedy,6.1,90661,49900000.0
She's Out of My League,Par.,32000000.0,17800000.0,2010,104.0,Comedy,6.4,117245,49800000.0
How Do You Know,Sony,30200000.0,18500000.0,2010,121.0,Comedy,5.4,41072,48700000.0
Charlie St. Cloud,Uni.,31200000.0,17000000.0,2010,99.0,Drama,6.5,55016,48200000.0
Scott Pilgrim vs. the World,Uni.,31500000.0,16100000.0,2010,112.0,Action,7.5,339338,47600000.0
Heartbreaker,IFC,504000.0,46900000.0,2010,105.0,Comedy,6.8,23995,47404000.0
The Spy Next Door,LGF,24300000.0,20900000.0,2010,94.0,Action,5.5,36767,45200000.0
Machete,Fox,26600000.0,17500000.0,2010,105.0,Action,6.6,182320,44100000.0
When in Rome,BV,32700000.0,10400000.0,2010,91.0,Comedy,5.6,57396,43100000.0
Going the Distance,WB (NL),17800000.0,24200000.0,2010,102.0,Comedy,6.3,54421,42000000.0
For Colored Girls,LGF,37700000.0,17300.0,2010,133.0,Drama,6.1,6728,37717300.0
Furry Vengeance,Sum.,17600000.0,18600000.0,2010,92.0,Comedy,3.8,14700,36200000.0
Faster,CBS,23200000.0,12400000.0,2010,98.0,Action,6.5,93618,35600000.0
The Kids Are All Right,Focus,20800000.0,13900000.0,2010,106.0,Comedy,7.0,120656,34700000.0
You Will Meet a Tall Dark Stranger,SPC,3200000.0,31000000.0,2010,98.0,Comedy,6.3,41608,34200000.0
Leap Year,Uni.,25900000.0,6700000.0,2010,100.0,Comedy,6.5,86125,32600000.0
Leap Year,Uni.,25900000.0,6700000.0,2010,94.0,Drama,5.9,2211,32600000.0
You Again,BV,25700000.0,6300000.0,2010,105.0,Comedy,5.8,46690,32000000.0
The Losers,WB,23600000.0,5800000.0,2010,97.0,Action,6.4,83876,29400000.0
The Losers,WB,23600000.0,5800000.0,2010,112.0,Drama,1.7,70,29400000.0
Ramona and Beezus,Fox,26200000.0,1100000.0,2010,103.0,Adventure,6.6,16086,27300000.0
Let Me In,Over.,12100000.0,12000000.0,2010,116.0,Drama,7.1,107012,24100000.0
Let Me In,Over.,12100000.0,12000000.0,2010,74.0,Horror,5.1,7,24100000.0
Just Wright,FoxS,21500000.0,29900.0,2010,100.0,Comedy,5.9,12466,21529900.0
Our Family Wedding,FoxS,20300000.0,1200000.0,2010,103.0,Comedy,4.9,6417,21500000.0
My Soul to Take,Uni.,14700000.0,6200000.0,2010,107.0,Horror,4.8,18381,20900000.0
Country Strong,SGem,20200000.0,310000.0,2010,117.0,Drama,6.3,16296,20510000.0
Another Year,SPC,3200000.0,16500000.0,2010,129.0,Comedy,7.3,26273,19700000.0
Another Year,SPC,3200000.0,16500000.0,2010,107.0,Drama,6.6,294,19700000.0
Another Year,SPC,3200000.0,16500000.0,2010,181.0,Documentary,7.2,40,19700000.0
Buried,LGF,1000000.0,18100000.0,2010,95.0,Drama,7.0,139426,19100000.0
Buried,LGF,1000000.0,18100000.0,2010,95.0,Thriller,6.0,5,19100000.0
Repo Men,Uni.,13800000.0,4600000.0,2010,111.0,Action,6.3,96144,18400000.0
The Nutcracker in 3D,Free,195000.0,16000000.0,2010,110.0,Action,4.3,3119,16195000.0
Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,9900000.0,2010,41.0,Documentary,6.9,364,16000000.0
I Hate Luv Storys,UTV,848000.0,14900000.0,2010,129.0,Comedy,5.7,6921,15748000.0
Extraordinary Measures,CBS,12100000.0,3100000.0,2010,106.0,Drama,6.5,15673,15200000.0
Somewhere,Focus,1800000.0,12200000.0,2010,97.0,Comedy,6.3,40250,14000000.0
Winter's Bone,RAtt.,6500000.0,7300000.0,2010,100.0,Drama,7.2,127751,13800000.0
The Last Station,SPC,6600000.0,6900000.0,2010,90.0,Documentary,7.6,10,13500000.0
Raajneeti,UTV,1500000.0,11100000.0,2010,163.0,Crime,7.2,15214,12600000.0
Made in Dagenham,SPC,1100000.0,11300000.0,2010,113.0,Biography,7.2,13121,12400000.0
Blue Valentine,Wein.,9700000.0,2600000.0,2010,112.0,Drama,7.4,170089,12300000.0
Tamara Drewe,SPC,560000.0,11400000.0,2010,107.0,Comedy,6.2,19362,11960000.0
Chloe,SPC,3100000.0,8600000.0,2010,73.0,Drama,6.9,34,11700000.0
The Warrior's Way,Rela.,5700000.0,5400000.0,2010,100.0,Action,6.3,24271,11100000.0
Jonah Hex,WB,10500000.0,356000.0,2010,81.0,Action,4.7,51860,10856000.0
Cyrus,FoxS,7500000.0,2500000.0,2010,87.0,Crime,4.7,944,10000000.0
Cyrus,FoxS,7500000.0,2500000.0,2010,91.0,Comedy,6.3,32457,10000000.0
Conviction,FoxS,6800000.0,2900000.0,2010,107.0,Biography,7.2,39771,9700000.0
Conviction,FoxS,6800000.0,2900000.0,2010,110.0,Drama,7.0,234,9700000.0
Babies,Focus,7300000.0,2200000.0,2010,79.0,Documentary,7.1,6672,9500000.0
Stone,Over.,1800000.0,7700000.0,2010,105.0,Drama,5.4,38667,9500000.0
Stone,Over.,1800000.0,7700000.0,2010,90.0,Crime,5.6,607,9500000.0
Never Let Me Go,FoxS,2400000.0,7000000.0,2010,103.0,Drama,7.1,130084,9400000.0
MacGruber,Uni.,8500000.0,797000.0,2010,90.0,Action,5.5,39782,9297000.0
Inside Job,SPC,4300000.0,3600000.0,2010,109.0,Crime,8.3,65304,7900000.0
The Joneses,RAtt.,1500000.0,5500000.0,2010,117.0,Comedy,6.9,87,7000000.0
The Joneses,RAtt.,1500000.0,5500000.0,2010,80.0,Biography,5.9,15,7000000.0
Centurion,Magn.,124000.0,6700000.0,2010,97.0,Action,6.4,74085,6824000.0
Animal Kingdom,SPC,1000000.0,5700000.0,2010,113.0,Crime,7.3,51576,6700000.0
It's Kind of a Funny Story,Focus,6400000.0,128000.0,2010,101.0,Comedy,7.1,125583,6528000.0
Greenberg,Focus,4200000.0,1900000.0,2010,107.0,Comedy,6.1,33702,6100000.0
Exit Through the Gift Shop,PDA,3300000.0,2000000.0,2010,87.0,Comedy,8.0,58721,5300000.0
Rabbit Hole,LGF,2200000.0,2900000.0,2010,91.0,Drama,7.0,45357,5100000.0
Vision,Zeit.,435000.0,4600000.0,2010,109.0,Drama,5.4,322,5035000.0
The Runaways,App.,3600000.0,1100000.0,2010,106.0,Biography,6.6,43792,4700000.0
The Runaways,App.,3600000.0,1100000.0,2010,108.0,Adventure,9.2,47,4700000.0
Four Lions,Drft.,305000.0,4400000.0,2010,97.0,Comedy,7.3,66209,4705000.0
Please Give,SPC,4000000.0,280000.0,2010,87.0,Comedy,6.6,10652,4280000.0
Monsters,Magn.,237000.0,4000000.0,2010,94.0,Drama,6.4,84332,4237000.0
Monsters,Magn.,237000.0,4000000.0,2010,87.0,Horror,4.0,6,4237000.0
Rare Exports: A Christmas Tale,Osci.,236000.0,3800000.0,2010,84.0,Adventure,6.7,23923,4036000.0
